assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_000013265.1	PRJNA16259	SAMN00000110		na	364106	562	Escherichia coli UTI89	strain=UTI89		latest	Complete Genome	Major	Full	2006/04/05	ASM1326v1	Washington University (WashU)	GCF_000013265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/265/GCA_000013265.1_ASM1326v1		
GCA_000013305.1	PRJNA16235	SAMN02604181		na	362663	562	Escherichia coli 536	strain=536		latest	Complete Genome	Major	Full	2006/07/13	ASM1330v1	University of Goettingen	GCF_000013305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/305/GCA_000013305.1_ASM1330v1		
GCA_000014845.1	PRJNA16718	SAMN02603424		na	405955	562	Escherichia coli APEC O1	strain=APEC O1		latest	Complete Genome	Major	Full	2006/10/04	ASM1484v1	Iowa State University	GCF_000014845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/845/GCA_000014845.1_ASM1484v1		
GCA_000017745.1	PRJNA13960	SAMN02604038		na	331111	562	Escherichia coli O139:H28 str. E24377A	strain=E24377A		latest	Complete Genome	Major	Full	2007/09/11	ASM1774v1	TIGR	GCF_000017745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/745/GCA_000017745.1_ASM1774v1		
GCA_000017765.1	PRJNA13959	SAMN02604037		na	331112	562	Escherichia coli HS	strain=HS		latest	Complete Genome	Major	Full	2007/09/10	ASM1776v1	TIGR	GCF_000017765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/765/GCA_000017765.1_ASM1776v1		
GCA_000017985.1	PRJNA18281	SAMN02603421		na	413997	562	Escherichia coli B str. REL606	strain=REL606		latest	Complete Genome	Major	Full	2009/07/15	ASM1798v1	International E. coli B Consortium	GCF_000017985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/985/GCA_000017985.1_ASM1798v1		
GCA_000019385.1	PRJNA18083	SAMN02598405		na	481805	562	Escherichia coli ATCC 8739	strain=ATCC 8739		latest	Complete Genome	Major	Full	2008/03/11	ASM1938v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000019385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/385/GCA_000019385.1_ASM1938v1		
GCA_000019425.1	PRJNA20079	SAMN02604262		na	316385	562	Escherichia coli str. K-12 substr. DH10B	strain=K-12 substr. DH10B		latest	Complete Genome	Major	Full	2008/03/14	ASM1942v1	University of Wisconsin-Madison	GCF_000019425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/425/GCA_000019425.1_ASM1942v1		
GCA_000019645.1	PRJNA19469	SAMN02604066		na	439855	562	Escherichia coli SMS-3-5	strain=SMS-3-5		latest	Complete Genome	Major	Full	2008/03/20	ASM1964v1	TIGR	GCF_000019645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/645/GCA_000019645.1_ASM1964v1		
GCA_000021125.1	PRJNA27739	SAMN02603441		na	444450	562	Escherichia coli O157:H7 str. EC4115	strain=EC4115		latest	Complete Genome	Major	Full	2008/10/08	ASM2112v1	J. Craig Venter Institute	GCF_000021125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/125/GCA_000021125.1_ASM2112v1		
GCA_000022225.1	PRJNA30045	SAMN02604255		na	544404	562	Escherichia coli O157:H7 str. TW14359	strain=TW14359		latest	Complete Genome	Major	Full	2009/07/23	ASM2222v1	University of Washington	GCF_000022225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/225/GCA_000022225.1_ASM2222v1		
GCA_000022345.1	PRJNA33775	SAMN02603900		na	595496	562	Escherichia coli BW2952	strain=K-12 substr. BW2952		latest	Complete Genome	Major	Full	2009/06/04	ASM2234v1	TEDA School of Biological Sciences and Biotechnology, Nankai University	GCF_000022345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/345/GCA_000022345.1_ASM2234v1		
GCA_000022665.2	PRJNA20713	SAMN02603478		na	469008	562	Escherichia coli BL21(DE3)	strain=BL21(DE3)		latest	Complete Genome	Major	Full	2010/05/17	ASM2266v1	Korea Research Institute of Bioscience and Biotechnology	GCF_000022665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/665/GCA_000022665.2_ASM2266v1		
GCA_000023365.1	PRJNA30031	SAMN02598470		na	536056	562	Escherichia coli DH1	strain=DH1		latest	Complete Genome	Major	Full	2009/10/05	ASM2336v1	US DOE Joint Genome Institute	GCF_000023365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/365/GCA_000023365.1_ASM2336v1		
GCA_000023665.1	PRJNA30681	SAMN00002656		na	866768	562	Escherichia coli 'BL21-Gold(DE3)pLysS AG'	strain=BL21-Gold(DE3)pLysS AG		latest	Complete Genome	Major	Full	2009/07/09	ASM2366v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000023665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/665/GCA_000023665.1_ASM2366v1		
GCA_000025165.1	PRJNA42729	SAMN02603636		na	701177	562	Escherichia coli O55:H7 str. CB9615	strain=CB9615		latest	Complete Genome	Major	Full	2010/03/08	ASM2516v1	Nankai University	GCF_000025165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/165/GCA_000025165.1_ASM2516v1		
GCA_000025745.1	PRJNA43693	SAMN02603334		na	714962	562	Escherichia coli IHE3034	strain=IHE3034		latest	Complete Genome	Major	Full	2010/04/12	ASM2574v1	IGS	GCF_000025745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/745/GCA_000025745.1_ASM2574v1		
GCA_000026245.1	PRJNA33413	SAMEA3138229		na	585055	562	Escherichia coli 55989	strain=55989		latest	Complete Genome	Major	Full	2008/12/18	ASM2624v1	Institut Pasteur and Genoscope	GCF_000026245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/245/GCA_000026245.1_ASM2624v1		
GCA_000026265.1	PRJNA33373	SAMEA3138230		na	585034	562	Escherichia coli IAI1	strain=IAI1		latest	Complete Genome	Major	Full	2008/12/18	ASM2626v1	Genoscope	GCF_000026265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/265/GCA_000026265.1_ASM2626v1		
GCA_000026285.2	PRJNA33375	SAMEA3138231		na	585035	562	Escherichia coli S88	strain=S88		latest	Complete Genome	Major	Full	2008/12/18	ASM2628v2	Genoscope	GCF_000026285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/285/GCA_000026285.2_ASM2628v2		
GCA_000026305.1	PRJNA33409	SAMEA3138232		na	585397	562	Escherichia coli ED1a	strain=ED1a		latest	Chromosome	Major	Full	2008/12/18	ASM2630v1	Genoscope	GCF_000026305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/305/GCA_000026305.1_ASM2630v1		
GCA_000026325.2	PRJNA33415	SAMEA3138233		reference genome	585056	562	Escherichia coli UMN026	strain=UMN026		latest	Chromosome	Major	Full	2008/12/18	ASM2632v2	Genoscope	GCF_000026325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/325/GCA_000026325.2_ASM2632v2		
GCA_000026345.1	PRJNA33411	SAMEA3138234		reference genome	585057	562	Escherichia coli IAI39	strain=IAI39		latest	Complete Genome	Major	Full	2008/12/18	ASM2634v1	Genoscope	GCF_000026345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/345/GCA_000026345.1_ASM2634v1		
GCA_000026545.1	PRJEA32571	SAMEA1705959		na	574521	562	Escherichia coli O127:H6 str. E2348/69	strain=E2348/69		latest	Complete Genome	Major	Full	2008/11/26	ASM2654v1	Sanger Institute	GCF_000026545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/545/GCA_000026545.1_ASM2654v1		
GCA_000027125.1	PRJEA40647	SAMEA2272277		na	216592	562	Escherichia coli 042	strain=042		latest	Complete Genome	Major	Full	2010/01/28	ASM2712v1	Wellcome Trust Sanger Institute	GCF_000027125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/125/GCA_000027125.1_ASM2712v1		
GCA_000091005.1	PRJDA32509	SAMD00060955		na	573235	562	Escherichia coli O26:H11 str. 11368	strain=11368		latest	Complete Genome	Major	Full	2009/09/10	ASM9100v1	University of Tokyo, Graduate School of Frontier Sciences	GCF_000091005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/005/GCA_000091005.1_ASM9100v1		
GCA_000146735.1	PRJNA51747	SAMN02471201	AEFE00000000.1	na	879462	562	Escherichia coli str. K-12 substr. MG1655star	strain=K-12 substr. MG1655star		latest	Chromosome	Major	Full	2010/09/03	ASM14673v1	OU Botany & Microbiology	GCF_000146735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/735/GCA_000146735.1_ASM14673v1		
GCA_000147755.2	PRJNA42709	SAMN00017225	AEDF00000000.1	na	566546	562	Escherichia coli W	strain=W		latest	Scaffold	Major	Full	2010/09/13	ASM14775v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000147755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/755/GCA_000147755.2_ASM14775v1		
GCA_000147855.3	PRJNA33875	SAMN00016779		na	595495	562	Escherichia coli KO11FL	strain=KO11		latest	Complete Genome	Major	Full	2011/02/14	ASM14785v3	US DOE Joint Genome Institute (JGI-PGF)	GCF_000147855.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/855/GCA_000147855.3_ASM14785v3		
GCA_000148365.1	PRJNA38725	SAMN02603258		na	655817	562	Escherichia coli ABU 83972	strain=ABU 83972		latest	Complete Genome	Major	Full	2010/09/22	ASM14836v1	Georg-August-University Goettingen	GCF_000148365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/365/GCA_000148365.1_ASM14836v1		
GCA_000148605.1	PRJNA50883	SAMN00017915		na	869729	562	Escherichia coli UM146	strain=UM146		latest	Complete Genome	Major	Full	2010/09/24	ASM14860v1	MBRI	GCF_000148605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/605/GCA_000148605.1_ASM14860v1		
GCA_000155005.1	PRJNA27747	SAMN02436231	ABJT00000000.1	na	444454	562	Escherichia coli O157:H7 str. EC4024	strain=EC4024		latest	Scaffold	Major	Full	2008/03/07	ASM15500v1	J. Craig Venter Institute	GCF_000155005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/005/GCA_000155005.1_ASM15500v1	hybrid	
GCA_000155125.1	PRJNA28847	SAMN02436234	ABKY00000000.2	na	502346	562	Escherichia coli O157:H7 str. TW14588	strain=TW14588		latest	Chromosome	Major	Full	2009/02/19	ASM15512v1	J Craig Venter Institute	GCF_000155125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/125/GCA_000155125.1_ASM15512v1		
GCA_000158395.1	PRJNA32507	SAMN02463720	ACDL00000000.1	na	556266	562	Escherichia coli D9	strain=D9		latest	Scaffold	Major	Full	2009/02/24	ASM15839v1	Broad Institute	GCF_000158395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/395/GCA_000158395.1_ASM15839v1		
GCA_000159295.1	PRJNA31467	SAMN00001495	ACGN00000000.1	na	525281	562	Escherichia coli 83972	strain=83972		latest	Scaffold	Major	Full	2009/05/15	ASM15929v1	Baylor College of Medicine	GCF_000159295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/295/GCA_000159295.1_ASM15929v1		
GCA_000163155.1	PRJNA38905	SAMN02595356	ACXE00000000.1	na	550672	562	Escherichia coli B088	strain=B088		latest	Scaffold	Major	Full	2010/03/22	ASM16315v1	Broad Institute	GCF_000163155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/163/155/GCA_000163155.1_ASM16315v1		
GCA_000163175.1	PRJNA38915	SAMN02595357	ACXF00000000.1	na	550676	562	Escherichia coli B185	strain=B185		latest	Scaffold	Major	Full	2010/03/23	ASM16317v1	Broad Institute	GCF_000163175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/163/175/GCA_000163175.1_ASM16317v1		
GCA_000163195.1	PRJNA38917	SAMN02595358	ACXG00000000.1	na	550677	562	Escherichia coli B354	strain=B354		latest	Scaffold	Major	Full	2010/03/24	ASM16319v1	Broad Institute	GCF_000163195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/163/195/GCA_000163195.1_ASM16319v1		
GCA_000163215.1	PRJNA39915	SAMN02595359	ACXH00000000.1	na	656379	562	Escherichia coli FVEC1302	strain=FVEC1302		latest	Scaffold	Major	Full	2010/06/14	ASM16321v1	Broad Institute	GCF_000163215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/163/215/GCA_000163215.1_ASM16321v1		
GCA_000163235.1	PRJNA39917	SAMN02595360	ACXI00000000.1	na	656380	562	Escherichia coli FVEC1412	strain=FVEC1412		latest	Scaffold	Major	Full	2010/03/23	ASM16323v1	Broad Institute	GCF_000163235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/163/235/GCA_000163235.1_ASM16323v1		
GCA_000164195.1	PRJNA47273	SAMN00189178	ADTJ00000000.1	na	749549	562	Escherichia coli MS 198-1	strain=MS 198-1		latest	Scaffold	Major	Full	2010/05/26	ASM16419v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/195/GCA_000164195.1_ASM16419v1		
GCA_000164215.1	PRJNA47219	SAMN00189187	ADTK00000000.1	na	749533	562	Escherichia coli MS 84-1	strain=MS 84-1		latest	Scaffold	Major	Full	2010/05/26	ASM16421v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/215/GCA_000164215.1_ASM16421v1		
GCA_000164235.1	PRJNA47227	SAMN00189164	ADTL00000000.1	na	749537	562	Escherichia coli MS 115-1	strain=MS 115-1		latest	Scaffold	Major	Full	2010/05/26	ASM16423v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/235/GCA_000164235.1_ASM16423v1		
GCA_000164255.1	PRJNA47265	SAMN00189174	ADTM00000000.1	na	749545	562	Escherichia coli MS 182-1	strain=MS 182-1		latest	Scaffold	Major	Full	2010/05/26	ASM16425v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/255/GCA_000164255.1_ASM16425v1		
GCA_000164275.1	PRJNA47241	SAMN00189170	ADTN00000000.1	na	749540	562	Escherichia coli MS 146-1	strain=MS 146-1		latest	Scaffold	Major	Full	2010/05/26	ASM16427v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/275/GCA_000164275.1_ASM16427v1		
GCA_000164295.1	PRJNA47207	SAMN00189181	ADTO00000000.1	na	749528	562	Escherichia coli MS 45-1	strain=MS 45-1		latest	Scaffold	Major	Full	2010/05/26	ASM16429v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/295/GCA_000164295.1_ASM16429v1		
GCA_000164315.1	PRJNA47213	SAMN00189184	ADTP00000000.1	na	749531	562	Escherichia coli MS 69-1	strain=MS 69-1		latest	Scaffold	Major	Full	2010/05/26	ASM16431v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/315/GCA_000164315.1_ASM16431v1		
GCA_000164335.1	PRJNA47269	SAMN00189176	ADTQ00000000.1	na	749547	562	Escherichia coli MS 187-1	strain=MS 187-1		latest	Scaffold	Major	Full	2010/05/26	ASM16433v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/335/GCA_000164335.1_ASM16433v1		
GCA_000164355.1	PRJNA47205	SAMN00189180	ADTR00000000.1	na	749527	562	Escherichia coli MS 21-1	strain=MS 21-1		latest	Scaffold	Major	Full	2010/05/26	ASM16435v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/355/GCA_000164355.1_ASM16435v1		
GCA_000164375.1	PRJNA47231	SAMN00189166	ADTS00000000.1	na	749539	562	Escherichia coli MS 117-3	strain=MS 117-3		latest	Scaffold	Major	Full	2010/05/26	ASM16437v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/375/GCA_000164375.1_ASM16437v1		
GCA_000164415.1	PRJNA47225	SAMN00189163	ADTW00000000.1	na	749536	562	Escherichia coli MS 110-3	strain=MS 110-3		latest	Scaffold	Major	Full	2010/05/26	ASM16441v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/415/GCA_000164415.1_ASM16441v1		
GCA_000164435.1	PRJNA47257	SAMN00189171	ADTX00000000.1	na	749541	562	Escherichia coli MS 153-1	strain=MS 153-1		latest	Scaffold	Major	Full	2010/05/26	ASM16443v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/435/GCA_000164435.1_ASM16443v1		
GCA_000164455.1	PRJNA47217	SAMN00189185	ADTY00000000.1	na	749532	562	Escherichia coli MS 78-1	strain=MS 78-1		latest	Scaffold	Major	Full	2010/05/26	ASM16445v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/455/GCA_000164455.1_ASM16445v1		
GCA_000164475.1	PRJNA47229	SAMN00189165	ADTZ00000000.1	na	749538	562	Escherichia coli MS 116-1	strain=MS 116-1		latest	Scaffold	Major	Full	2010/05/26	ASM16447v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/475/GCA_000164475.1_ASM16447v1		
GCA_000164495.1	PRJNA47259	SAMN00189172	ADUA00000000.1	na	749542	562	Escherichia coli MS 16-3	strain=MS 16-3		latest	Scaffold	Major	Full	2010/05/26	ASM16449v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/495/GCA_000164495.1_ASM16449v1		
GCA_000164515.1	PRJNA47263	SAMN00189173	ADUB00000000.1	na	749544	562	Escherichia coli MS 175-1	strain=MS 175-1		latest	Scaffold	Major	Full	2010/05/26	ASM16451v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/515/GCA_000164515.1_ASM16451v1		
GCA_000164535.1	PRJNA47275	SAMN00189179	ADUC00000000.1	na	749550	562	Escherichia coli MS 200-1	strain=MS 200-1		latest	Scaffold	Major	Full	2010/05/26	ASM16453v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/535/GCA_000164535.1_ASM16453v1		
GCA_000164555.1	PRJNA47271	SAMN00189177	ADUD00000000.1	na	749548	562	Escherichia coli MS 196-1	strain=MS 196-1		latest	Scaffold	Major	Full	2010/05/26	ASM16455v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/555/GCA_000164555.1_ASM16455v1		
GCA_000164575.1	PRJNA47267	SAMN00189175	ADUE00000000.1	na	749546	562	Escherichia coli MS 185-1	strain=MS 185-1		latest	Scaffold	Major	Full	2010/05/26	ASM16457v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/575/GCA_000164575.1_ASM16457v1		
GCA_000164595.1	PRJNA47211	SAMN00189183	ADUF00000000.1	na	749530	562	Escherichia coli MS 60-1	strain=MS 60-1		latest	Scaffold	Major	Full	2010/05/26	ASM16459v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/595/GCA_000164595.1_ASM16459v1		
GCA_000164615.1	PRJNA47209	SAMN00189182	ADUG00000000.1	na	749529	562	Escherichia coli MS 57-2	strain=MS 57-2		latest	Scaffold	Major	Full	2010/05/26	ASM16461v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000164615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/615/GCA_000164615.1_ASM16461v1		
GCA_000165655.2	PRJNA40257	SAMN00792432	ADUK00000000.1	na	670888	562	Escherichia coli 1827-70	strain=1827-70		latest	Contig	Major	Full	2010/10/25	ASM16565v1	Institute for Genome Sciences	GCF_000165655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/655/GCA_000165655.2_ASM16565v1		
GCA_000166535.3	PRJNA59743	SAMN02436015	AELA00000000.2	na	913091	562	Escherichia coli TW10598	strain=TW10598		latest	Chromosome	Major	Full	2017/05/18	ASM16653v3	Institute for Genome Sciences	GCF_000166535.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/535/GCA_000166535.3_ASM16653v3		
GCA_000166555.2	PRJNA59745	SAMN02435971	AELB00000000.1	na	913090	562	Escherichia coli TW10722	strain=TW10722		latest	Contig	Major	Full	2010/11/15	ASM16655v2	Institute for Genome Sciences	GCF_000166555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/555/GCA_000166555.2_ASM16655v2		
GCA_000166575.2	PRJNA59747	SAMN02435898	AELC00000000.1	na	913089	562	Escherichia coli TW10828	strain=TW10828		latest	Contig	Major	Full	2010/11/15	ASM16657v2	Institute for Genome Sciences	GCF_000166575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/575/GCA_000166575.2_ASM16657v2		
GCA_000166595.2	PRJNA59749	SAMN02436016	AELD00000000.1	na	913088	562	Escherichia coli TW11681	strain=TW11681		latest	Contig	Major	Full	2010/11/15	ASM16659v2	Institute for Genome Sciences	GCF_000166595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/595/GCA_000166595.2_ASM16659v2		
